Name,Class,Probability
Negative_623,Non-Allergen,0.0
Negative_625,Non-Allergen,0.0
Negative_627,Non-Allergen,0.0
Negative_628,Non-Allergen,0.001
Negative_630,Allergen,1.0
Negative_631,Non-Allergen,0.0
Negative_633,Allergen,1.0
Negative_634,Non-Allergen,0.0
Negative_636,Non-Allergen,0.0
Negative_637,Non-Allergen,0.0
Negative_638,Non-Allergen,0.0
Negative_641,Non-Allergen,0.0
Negative_642,Non-Allergen,0.0
Negative_643,Non-Allergen,0.0
Negative_645,Non-Allergen,0.0
Negative_647,Non-Allergen,0.01
Negative_648,Non-Allergen,0.0
Negative_649,Non-Allergen,0.0
Negative_650,Non-Allergen,0.0
Negative_653,Allergen,0.936
Negative_654,Non-Allergen,0.006
Negative_655,Non-Allergen,0.0
Negative_657,Allergen,1.0
Negative_658,Non-Allergen,0.0
Negative_659,Non-Allergen,0.0
Negative_660,Non-Allergen,0.008
Negative_661,Non-Allergen,0.0
Negative_662,Non-Allergen,0.0
Negative_663,Non-Allergen,0.0
Negative_665,Non-Allergen,0.0
Negative_668,Non-Allergen,0.0
Negative_669,Non-Allergen,0.0
Negative_671,Non-Allergen,0.0
Negative_673,Non-Allergen,0.0
Negative_674,Non-Allergen,0.0
Negative_675,Non-Allergen,0.0
Negative_676,Non-Allergen,0.0
Negative_677,Non-Allergen,0.0
Negative_679,Non-Allergen,0.0
Negative_682,Non-Allergen,0.0
Negative_683,Allergen,1.0
Negative_685,Non-Allergen,0.0
Negative_686,Allergen,0.787
Negative_687,Non-Allergen,0.0
Negative_688,Non-Allergen,0.0
Negative_689,Non-Allergen,0.0
Negative_694,Non-Allergen,0.0
Negative_696,Non-Allergen,0.0
Negative_697,Non-Allergen,0.0
Negative_698,Non-Allergen,0.0
Negative_699,Non-Allergen,0.0
Positive_700,Non-Allergen,0.039
Negative_701,Non-Allergen,0.0
Negative_702,Non-Allergen,0.0
Negative_704,Non-Allergen,0.0
Negative_705,Non-Allergen,0.0
Negative_706,Allergen,0.999
Negative_707,Non-Allergen,0.0
Negative_708,Non-Allergen,0.0
Negative_709,Non-Allergen,0.0
Negative_710,Non-Allergen,0.485
Negative_713,Non-Allergen,0.0
Negative_714,Non-Allergen,0.0
Positive_715,Allergen,1.0
Negative_717,Non-Allergen,0.076
Negative_719,Allergen,0.944
Negative_721,Non-Allergen,0.0
Negative_722,Non-Allergen,0.004
Negative_723,Non-Allergen,0.0
Negative_724,Non-Allergen,0.0
Negative_725,Allergen,0.825
Negative_726,Allergen,1.0
Negative_727,Allergen,0.964
Negative_728,Non-Allergen,0.0
Negative_730,Allergen,0.79
Negative_731,Non-Allergen,0.0
Negative_732,Non-Allergen,0.0
Negative_733,Non-Allergen,0.0
Negative_734,Non-Allergen,0.0
Negative_736,Non-Allergen,0.0
Negative_740,Non-Allergen,0.0
Negative_741,Non-Allergen,0.0
Negative_743,Non-Allergen,0.0
Negative_744,Non-Allergen,0.0
Negative_745,Non-Allergen,0.001
Negative_747,Allergen,0.994
Negative_748,Non-Allergen,0.0
Negative_749,Non-Allergen,0.0
Negative_750,Non-Allergen,0.0
Negative_751,Non-Allergen,0.004
Negative_753,Non-Allergen,0.0
Negative_757,Non-Allergen,0.0
Negative_758,Non-Allergen,0.0
Negative_764,Allergen,0.811
Negative_766,Non-Allergen,0.0
Negative_767,Non-Allergen,0.0
Negative_772,Non-Allergen,0.0
Negative_775,Non-Allergen,0.031
Negative_776,Non-Allergen,0.014
Negative_777,Non-Allergen,0.0
Negative_779,Non-Allergen,0.0
Negative_781,Non-Allergen,0.0
Negative_784,Non-Allergen,0.0
Negative_785,Non-Allergen,0.014
Negative_787,Non-Allergen,0.0
Negative_789,Allergen,1.0
Negative_790,Non-Allergen,0.0
Negative_797,Non-Allergen,0.0
Negative_802,Non-Allergen,0.0
Negative_811,Non-Allergen,0.0
Negative_812,Non-Allergen,0.477
Negative_822,Non-Allergen,0.0
Negative_828,Non-Allergen,0.0
Negative_831,Non-Allergen,0.0
Negative_832,Non-Allergen,0.0
Negative_833,Non-Allergen,0.0
Negative_835,Non-Allergen,0.0
Negative_836,Non-Allergen,0.0
Negative_837,Non-Allergen,0.0
Negative_838,Non-Allergen,0.01
Negative_839,Non-Allergen,0.441
Negative_841,Allergen,0.998
Negative_843,Non-Allergen,0.001
Negative_844,Non-Allergen,0.0
Negative_845,Non-Allergen,0.0
Negative_846,Non-Allergen,0.0
Negative_848,Non-Allergen,0.0
Negative_851,Allergen,1.0
Negative_852,Non-Allergen,0.041
Negative_855,Non-Allergen,0.0
Negative_856,Non-Allergen,0.0
Negative_857,Allergen,0.997
Negative_858,Non-Allergen,0.0
Positive_859,Allergen,1.0
Negative_863,Non-Allergen,0.0
Negative_864,Non-Allergen,0.0
Negative_874,Non-Allergen,0.021
Negative_877,Non-Allergen,0.068
Negative_881,Non-Allergen,0.0
Negative_883,Non-Allergen,0.0
Negative_884,Non-Allergen,0.0
Negative_885,Non-Allergen,0.0
Negative_886,Non-Allergen,0.0
Negative_890,Non-Allergen,0.0
Negative_894,Non-Allergen,0.0
Negative_905,Non-Allergen,0.0
Negative_906,Non-Allergen,0.021
Negative_907,Allergen,0.999
Negative_909,Non-Allergen,0.0
Negative_913,Non-Allergen,0.0
Negative_914,Non-Allergen,0.0
Negative_915,Non-Allergen,0.0
Negative_916,Non-Allergen,0.0
Negative_917,Non-Allergen,0.0
Negative_918,Non-Allergen,0.0
Negative_919,Non-Allergen,0.0
Negative_920,Non-Allergen,0.035
Negative_922,Non-Allergen,0.0
Negative_923,Non-Allergen,0.0
Negative_926,Non-Allergen,0.0
Negative_927,Non-Allergen,0.0
Negative_929,Non-Allergen,0.0
Negative_939,Non-Allergen,0.0
Negative_940,Non-Allergen,0.0
Negative_942,Non-Allergen,0.0
Negative_943,Non-Allergen,0.0
Negative_947,Non-Allergen,0.0
Negative_956,Non-Allergen,0.003
Negative_957,Non-Allergen,0.0
Negative_958,Non-Allergen,0.0
Negative_961,Non-Allergen,0.0
Negative_963,Allergen,0.988
Negative_964,Non-Allergen,0.0
Negative_966,Non-Allergen,0.0
Negative_967,Non-Allergen,0.0
Negative_968,Non-Allergen,0.0
Negative_970,Non-Allergen,0.0
Negative_973,Non-Allergen,0.0
Negative_979,Non-Allergen,0.016
Negative_981,Non-Allergen,0.073
Negative_982,Non-Allergen,0.0
Negative_984,Non-Allergen,0.0
Negative_985,Non-Allergen,0.0
Negative_986,Non-Allergen,0.0
Negative_993,Non-Allergen,0.0
Negative_1001,Non-Allergen,0.0
Positive_1002,Allergen,1.0
Negative_1004,Non-Allergen,0.0
Negative_1008,Non-Allergen,0.0
Negative_1012,Non-Allergen,0.0
Negative_1013,Allergen,1.0
Negative_1016,Non-Allergen,0.0
Negative_1020,Non-Allergen,0.0
Negative_1021,Non-Allergen,0.0
Negative_1023,Non-Allergen,0.0
Positive_1025,Non-Allergen,0.0
Negative_1029,Non-Allergen,0.0
Negative_1030,Non-Allergen,0.0
Negative_1046,Non-Allergen,0.0
Negative_1048,Non-Allergen,0.0
Negative_1049,Non-Allergen,0.0
Negative_1051,Non-Allergen,0.0
Negative_1052,Non-Allergen,0.0
Negative_1053,Non-Allergen,0.0
Negative_1055,Non-Allergen,0.0
Negative_1056,Non-Allergen,0.0
Negative_1059,Non-Allergen,0.0
Negative_1060,Non-Allergen,0.0
Negative_1061,Non-Allergen,0.0
Negative_1062,Non-Allergen,0.0
Negative_1063,Non-Allergen,0.0
Negative_1064,Non-Allergen,0.0
Negative_1065,Non-Allergen,0.0
Negative_1066,Non-Allergen,0.0
Negative_1067,Non-Allergen,0.0
Negative_1071,Non-Allergen,0.0
Negative_1072,Non-Allergen,0.0
Negative_1073,Non-Allergen,0.0
Negative_1074,Non-Allergen,0.0
Negative_1075,Non-Allergen,0.0
Negative_1076,Non-Allergen,0.0
Negative_1078,Non-Allergen,0.0
Negative_1079,Non-Allergen,0.0
Negative_1080,Non-Allergen,0.0
Negative_1082,Non-Allergen,0.0
Negative_1083,Non-Allergen,0.0
Negative_1084,Non-Allergen,0.0
Negative_1085,Non-Allergen,0.0
Negative_1087,Non-Allergen,0.005
Negative_1090,Non-Allergen,0.0
Negative_1091,Non-Allergen,0.0
Negative_1092,Non-Allergen,0.0
Negative_1093,Non-Allergen,0.0
Negative_1094,Non-Allergen,0.0
Negative_1095,Non-Allergen,0.0
Negative_1097,Non-Allergen,0.0
Negative_1099,Non-Allergen,0.0
Negative_1100,Non-Allergen,0.0
Negative_1101,Non-Allergen,0.0
Negative_1102,Non-Allergen,0.0
Negative_1103,Non-Allergen,0.0
Negative_1104,Non-Allergen,0.0
Negative_1105,Non-Allergen,0.0
Negative_1106,Non-Allergen,0.0
Negative_1107,Non-Allergen,0.0
Negative_1112,Non-Allergen,0.0
Negative_1114,Non-Allergen,0.0
Negative_1118,Non-Allergen,0.0
Negative_1119,Non-Allergen,0.0
Negative_1120,Non-Allergen,0.0
Negative_1122,Non-Allergen,0.0
Negative_1124,Non-Allergen,0.002
Negative_1125,Non-Allergen,0.0
Negative_1126,Non-Allergen,0.0
Negative_1127,Non-Allergen,0.001
Negative_1128,Non-Allergen,0.0
Negative_1129,Allergen,0.994
Negative_1130,Non-Allergen,0.0
Negative_1132,Non-Allergen,0.0
Negative_1133,Non-Allergen,0.0
Negative_1134,Non-Allergen,0.0
Negative_1135,Non-Allergen,0.0
Negative_1136,Non-Allergen,0.005
Negative_1137,Non-Allergen,0.0
Negative_1138,Non-Allergen,0.002
Negative_1139,Non-Allergen,0.002
Negative_1140,Non-Allergen,0.0
Negative_1141,Non-Allergen,0.0
Negative_1142,Non-Allergen,0.001
Negative_1148,Non-Allergen,0.0
Negative_1151,Non-Allergen,0.0
Negative_1160,Non-Allergen,0.162
Negative_1165,Non-Allergen,0.093
Negative_1166,Non-Allergen,0.0
Negative_1167,Non-Allergen,0.0
Negative_1168,Non-Allergen,0.0
Negative_1170,Non-Allergen,0.0
Negative_1172,Non-Allergen,0.0
Negative_1173,Non-Allergen,0.0
Negative_1174,Non-Allergen,0.0
Negative_1177,Non-Allergen,0.0
Negative_1178,Non-Allergen,0.0
Negative_1181,Non-Allergen,0.0
Positive_1182,Allergen,1.0
Negative_1183,Non-Allergen,0.205
Negative_1185,Non-Allergen,0.006
Negative_1187,Non-Allergen,0.0
Negative_1188,Non-Allergen,0.0
Negative_1189,Non-Allergen,0.0
Negative_1190,Non-Allergen,0.0
Negative_1191,Non-Allergen,0.0
Negative_1192,Non-Allergen,0.0
Negative_1193,Non-Allergen,0.0
Negative_1194,Non-Allergen,0.0
Negative_1195,Non-Allergen,0.0
Negative_1196,Allergen,0.848
Negative_1197,Non-Allergen,0.0
Negative_1208,Non-Allergen,0.0
Negative_1211,Non-Allergen,0.0
Negative_1212,Non-Allergen,0.0
Negative_1215,Non-Allergen,0.001
Negative_1216,Non-Allergen,0.0
Negative_1217,Non-Allergen,0.0
Negative_1221,Non-Allergen,0.0
Negative_1222,Non-Allergen,0.0
Negative_1223,Non-Allergen,0.0
Negative_1224,Non-Allergen,0.0
Negative_1225,Non-Allergen,0.0
Negative_1227,Allergen,1.0
Negative_1228,Non-Allergen,0.001
Negative_1230,Non-Allergen,0.004
Negative_1232,Allergen,1.0
Negative_1237,Allergen,0.979
Negative_1238,Non-Allergen,0.0
Negative_1239,Non-Allergen,0.0
Negative_1240,Non-Allergen,0.0
Negative_1242,Non-Allergen,0.0
Negative_1243,Allergen,0.593
Negative_1245,Non-Allergen,0.0
Negative_1247,Non-Allergen,0.0
Negative_1248,Non-Allergen,0.462
Negative_1250,Non-Allergen,0.0
Negative_1251,Non-Allergen,0.0
Negative_1253,Non-Allergen,0.0
Negative_1254,Non-Allergen,0.0
Negative_1255,Non-Allergen,0.0
Negative_1256,Non-Allergen,0.0
Negative_1257,Non-Allergen,0.0
Negative_1258,Allergen,0.887
Negative_1259,Non-Allergen,0.0
Negative_1260,Non-Allergen,0.0
Negative_1261,Non-Allergen,0.018
Negative_1262,Non-Allergen,0.0
Negative_1263,Non-Allergen,0.0
Negative_1264,Non-Allergen,0.0
Negative_1265,Non-Allergen,0.0
Negative_1266,Non-Allergen,0.0
Negative_1267,Non-Allergen,0.0
Negative_1268,Non-Allergen,0.0
Negative_1270,Non-Allergen,0.008
Negative_1271,Non-Allergen,0.0
Negative_1272,Non-Allergen,0.0
Negative_1273,Non-Allergen,0.0
Negative_1274,Non-Allergen,0.0
Negative_1278,Non-Allergen,0.005
Negative_1279,Non-Allergen,0.0
Negative_1280,Allergen,0.997
Negative_1281,Non-Allergen,0.046
Negative_1283,Non-Allergen,0.0
Negative_1284,Non-Allergen,0.0
Negative_1285,Non-Allergen,0.0
Negative_1286,Non-Allergen,0.0
Negative_1287,Non-Allergen,0.041
Negative_1288,Non-Allergen,0.0
Negative_1290,Non-Allergen,0.0
Negative_1292,Allergen,1.0
Negative_1295,Non-Allergen,0.219
Negative_1298,Non-Allergen,0.0
Negative_1300,Non-Allergen,0.0
Negative_1301,Non-Allergen,0.0
Negative_1302,Non-Allergen,0.0
Negative_1303,Non-Allergen,0.0
Negative_1304,Allergen,0.999
Negative_1305,Non-Allergen,0.0
Negative_1306,Non-Allergen,0.0
Negative_1307,Non-Allergen,0.0
Negative_1311,Allergen,0.984
Negative_1314,Non-Allergen,0.0
Negative_1317,Non-Allergen,0.0
Negative_1318,Non-Allergen,0.0
Negative_1319,Non-Allergen,0.0
Negative_1320,Non-Allergen,0.0
Negative_1322,Non-Allergen,0.0
Negative_1323,Non-Allergen,0.0
Negative_1324,Non-Allergen,0.0
Negative_1325,Non-Allergen,0.0
Negative_1326,Non-Allergen,0.0
Negative_1327,Non-Allergen,0.0
Negative_1328,Non-Allergen,0.0
Negative_1330,Allergen,0.951
Negative_1331,Non-Allergen,0.0
Negative_1332,Non-Allergen,0.0
Negative_1334,Non-Allergen,0.0
Negative_1335,Non-Allergen,0.006
Negative_1336,Non-Allergen,0.0
Negative_1337,Non-Allergen,0.0
Negative_1338,Non-Allergen,0.0
Negative_1339,Non-Allergen,0.006
Negative_1341,Non-Allergen,0.0
Negative_1342,Non-Allergen,0.0
Negative_1343,Non-Allergen,0.0
Negative_1345,Non-Allergen,0.0
Negative_1349,Non-Allergen,0.0
Negative_1350,Non-Allergen,0.0
Negative_1351,Non-Allergen,0.0
Negative_1352,Non-Allergen,0.0
Negative_1353,Non-Allergen,0.0
Negative_1356,Non-Allergen,0.0
Negative_1357,Non-Allergen,0.019
Negative_1359,Non-Allergen,0.0
Negative_1363,Non-Allergen,0.0
Negative_1367,Non-Allergen,0.0
Negative_1368,Non-Allergen,0.0
Negative_1370,Non-Allergen,0.0
Negative_1372,Non-Allergen,0.0
Negative_1374,Non-Allergen,0.0
Negative_1377,Non-Allergen,0.0
Negative_1378,Non-Allergen,0.0
Negative_1380,Non-Allergen,0.0
Negative_1381,Allergen,1.0
Negative_1382,Allergen,0.983
Negative_1383,Non-Allergen,0.016
Negative_1384,Non-Allergen,0.0
